"CZ0002000896","HZL ČS VAR/11     ","BDTCSPO ","2010/09/24",107.68         ,.00      ,107.68         ,107.68         ,107.68         ,0            ,.00                ,"2007/01/03","1","2","C"
"CZ0002000904","HZL ČS 3,65/14    ","BDUCSPO ","2010/09/24",100.50         ,.00      ,100.50         ,100.50         ,100.50         ,0            ,.00                ,"2008/12/23","1","2","C"
"CZ0002000912","HZL WHB 5,00/11   ","BDCWUHYB","2010/09/24",106.04         ,.00      ,106.04         ,106.04         ,106.04         ,0            ,.00                ,"2010/08/12","1","2","C"
"CZ0002000946","HZL RBCZ 4,80/12  ","BDHRZBC ","2010/09/24",103.00         ,.00      ,103.00         ,103.00         ,103.00         ,0            ,.00                ,"2010/08/11","1","2","C"
"CZ0002000979","HZL HB 4,65/12    ","BOCREGI ","2010/09/24",103.95         ,.00      ,103.95         ,103.95         ,103.95         ,0            ,.00                ,"2008/03/20","1","2","C"
"CZ0002000995","HZL ČS 5,90/12    ","BDXCSPO ","2010/09/24",109.35         ,.00      ,109.35         ,109.35         ,109.35         ,0            ,.00                ,"1900/01/01","1","2","C"
"CZ0002001019","HZL HB 4,90/12    ","BODREGI ","2010/09/24",104.65         ,.00      ,104.65         ,104.65         ,104.65         ,0            ,.00                ,"1900/01/01","1","2","C"
"CZ0002001068","HZL ČS 4,50/15    ","BDYCSPO ","2010/09/24",101.76         ,.00      ,101.76         ,101.76         ,101.76         ,0            ,.00                ,"1900/01/01","1","2","C"
"CZ0002001084","HZL ČS VAR/14     ","BDZCSPO ","2010/09/24",110.08         ,.00      ,110.08         ,110.08         ,110.08         ,0            ,.00                ,"2010/08/03","1","2","C"
"CZ0002001134","HZL ČS VAR/17     ","BOACSPO ","2010/09/24",100.00         ,.00      ,100.00         ,100.00         ,100.00         ,0            ,.00                ,"1900/01/01","1","2","C"
"CZ0002001159","HZL VB CZ 5,40/12 ","BDCVOLKB","2010/09/24",105.51         ,.00      ,105.51         ,105.51         ,105.51         ,0            ,.00                ,"1900/01/01","1","2","C"
"CZ0002001175","HZL RBCZ 5,00/12  ","BDIRZBC ","2010/09/24",103.96         ,.00      ,103.96         ,103.96         ,103.96         ,0            ,.00                ,"2010/02/26","1","2","C"
"CZ0002001183","HZL HB VAR/37     ","BOEREGI ","2010/09/24",116.79         ,.00      ,116.79         ,116.79         ,116.79         ,0            ,.00                ,"2008/05/22","1","2","C"
"CZ0002001191","HZL ČS VAR/22     ","BOBCSPO ","2010/09/24",100.00         ,.00      ,100.00         ,100.00         ,100.00         ,0            ,.00                ,"1900/01/01","1","2","C"
"CZ0002001209","HZL WHB 5,60/12   ","BDDWUHYB","2010/09/24",108.10         ,.00      ,108.10         ,107.00         ,108.10         ,0            ,.00                ,"2010/09/16","1","2","C"
"CZ0002001266","HZL HB VAR/37     ","BOFREGI ","2010/09/24",115.33         ,.00      ,115.33         ,115.33         ,115.33         ,0            ,.00                ,"2009/03/16","1","2","C"
"CZ0002001274","HZL ČS VAR/14     ","BODCSPO ","2010/09/24",100.00         ,.00      ,100.00         ,100.00         ,100.00         ,0            ,.00                ,"2010/01/04","1","2","C"
"CZ0002001282","HZL ČS 5,90/17    ","BOECSPO ","2010/09/24",112.37         ,.00      ,112.37         ,112.37         ,112.37         ,0            ,.00                ,"2008/12/16","1","2","C"
"CZ0002001290","HZL ČS 4,00/10    ","BOFCSPO ","2010/09/24",99.89          ,.00      ,99.89          ,99.89          ,99.89          ,0            ,.00                ,"1900/01/01","1","2","C"
"CZ0002001308","HZL HB VAR/37     ","BOGREGI ","2010/09/24",116.71         ,.00      ,116.71         ,116.71         ,116.71         ,0            ,.00                ,"2009/04/29","1","2","C"
"CZ0002001316","HZL EBANKA 5,30/14","BDBZEBA ","2010/09/24",105.12         ,.00      ,105.12         ,105.12         ,105.12         ,0            ,.00                ,"1900/01/01","1","2","C"
"CZ0002001407","HZL ČS VAR/22     ","BOHCSPO ","2010/09/24",100.00         ,.00      ,100.00         ,100.00         ,100.00         ,0            ,.00                ,"1900/01/01","1","2","C"
"CZ0002001415","HZL ČS 6,15/23    ","BOGCSPO ","2010/09/24",117.48         ,.00      ,117.48         ,117.48         ,117.48         ,0            ,.00                ,"2008/12/12","1","2","C"
"CZ0002001423","HZL ČS 5,85/17    ","BOICSPO ","2010/09/24",112.27         ,.00      ,112.27         ,112.27         ,112.27         ,0            ,.00                ,"2007/12/19","1","2","C"
"CZ0002001662","HZL RBCZ 4,90/12  ","BDJRZBC ","2010/09/24",103.26         ,.00      ,103.26         ,103.26         ,103.26         ,0            ,.00                ,"2008/06/04","1","2","C"
"CZ0002001670","HZL RBCZ 5,10/17  ","BDKRZBC ","2010/09/24",105.53         ,.00      ,105.53         ,105.53         ,105.53         ,0            ,.00                ,"2007/12/20","1","2","C"
"CZ0002001696","HZL EBANKA 6,00/17","BDCZEBA ","2010/09/24",112.09         ,.00      ,112.09         ,112.09         ,112.09         ,0            ,.00                ,"2007/12/20","1","2","C"
